objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,"Alex Fraser Buie, East River, St. Mary's, Nova Scotia.jpg",,,Portrait of Alex Fraser Buie,,18??,"A portrait of Alex Fraser Buie, taken in East River, St. Mary's, in Nova Scotia before the 1900's. For more information on him, check the tag description for ""Alex Fraser Buie"" on the About page. ",Alex Fraser Buie; Portraits,"East River, St. Mary's, Nova Scotia",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll002,"Alex Fraser, Pictou, Nova Scotia.jpg",,,Baby Portrait of Alexander Thomas Fraser,,188?,"A baby portrait of Alexander Thomas Fraser. Photo taken in Pictou, Nova Scotia sometime around the 1880's. For more information on him, check the tag description for the tag ""Alexander Thomas Fraser"" on the About page. ",Portraits; Unidentified Persons,"Pictou, Nova Scotia",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll003,"Alice Louise (Toone) Horwood's little brother, died at age 2..jpg",,,Baby Portrait of an Unidentified Relative,,18??,A baby portriat of Alice Louise (Toone) Horwood's little brother. He died at age 2. Photo taken sometime before the 1900's.,Portraits; Unidentified Persons,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll004,"Alice Louise Toone, 17 yrs old, later married Mrs. J. E. Horwood at 27 yrs old.jpg",,,Portrait of Alice Louise (Toone) Horwood,,1891,"A portrait of Alice Louise Toone at age 17 years old. She would later marry J.E. Horwood at age 27, becoming Alice Louise Horwood. Photo taken around 1891. For more information on her, check the tag description for ""Alice Louise Horwood nee Toone"" on the About page. ",Portraits; Alice Louise Horwood nee Toone,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll005,"Alice Toone, 3 years old, April 8 1877.jpg",,,Baby Portrait of Alice Louise (Toone) Horwood,,1877,"A baby portrait of Alice Louise Toone at age 3. She would later marry J.E. Horwood at age 27 to become Alice Louise Horwood. Photo taken April 8th, 1877. For more information on her, check the tag description for ""Alice Louise Horwood nee Toone"" on the About page. ",Portraits; Alice Louise Horwood nee Toone,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll006,"Benjamin Toone, South Wigston Leiscester, England buried in South Wigston.jpg",,,Portrait of Benjamin Toone Senior,,18??,"A portait of Benjamin Toone, taken in South Wigston Leiscester, England where he was buried. Photo taken sometime before the 1900's. For more information on him, check the tag description for ""Benjamin Toone Snr."" on the About page. ",Portraits; Benjamin Toone Snr.,"South Wigston Leiscester, England",,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll007,"BenjaminToone- died 1907, He owned a boot factory, making boots at first by hand. Later in partnership with Black. They marketed Little Duke shoes. Hudson Bay stores in Edmonton sold them..jpg",,,Portrait of Benjamin Toone Senior,,18??,"A portrait of Benjamin Toone sometime before the 1900's. For more information on him, check the tag description for ""Benjamin Toone Snr."" on the About page. ",Portraits; Benjamin Toone Snr.,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll008,"Edgar Horwood, Easrnest Horwood's brother, left London and went to live in Johannesburg, Africa as a young man..jpg",,,Portrait of Edgar Horwood,,18??,"A portrait of Edgar Horwood (Earnest Horwood's brother). Photo taken sometime before the 1900's. For more information on him, check the tag description for ""Edgar Horwood"" on the About page. ",Portraits; Edgar Horwood,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll009,"George Toone, Alice Toone's half brother who didn't marry..jpg",,,Portrait of George Toone,,18??,"A portrait of George Toone, Alice Toone's half brother. Photo taken sometime before the 1900's. For more information on him, check the tag description for ""George Toone"" on the About page",Portraits; George Toone,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll010,"James Henry Towlson (Harry), 1865-1883 (18 yrs old). Alice (Toone) Horwood's half brother, the artist..jpg",,,"Portrait of James Henry Toalson, also called Harry",,18??,"A portrait of James Henry Towlson, known as Harry. Photo taken some time before his death in 1883. For more information on him, check the tag description for ""James Henry ""Harry"" Towlson"" on the About page.","Portraits; James Henry ""Harry"" Towlson",,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll011,James Henry Towlson.jpg,,,"Death Certificate of James Henry Toalson, also called Harry",,1883,"A death certificate for James Henry Towlson dated May 21, 1883. For more information on him, check the tag description for ""James Henry ""Harry"" Towlson"" on the About page. ","Certificates; James Henry ""Harry"" Towlson",,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
coll012,Unidentified relative.jpg,,,Portrait of an Unidentified Relative,,18??,A burned portrait of an unidentified relative. Photo taken sometime before the 1900's. ,Portraits; Unidentified Persons,,,,Alice Mitchell,,Image;StillImage,image/jpeg,eng,Public domain,
